model,scenario,Category,Category_name,Category_subset,Subset_Ch4,Category_Vetting_historical,IMP_marker,Literature Reference (if applicable),Policy_category,Policy_category_name,Project_study,CO2 emissions 2030 Gt CO2/yr,CO2 emissions 2050 Gt CO2/yr,CO2 emissions 2100 Gt CO2/yr,COVID,GDP|MER-per-capita-in-2100,GDP|MER-per-capita-in-2100_bin,GHG emissions 2030 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions 2050 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions 2100 Gt CO2-equiv/yr (Harmonized-Infilled),GHG emissions reductions 2019-2030 % modelled Harmonized-Infilled,GHG emissions reductions 2019-2050 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2030 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2040 % modelled Harmonized-Infilled,CO2 emissions reductions 2019-2050 % modelled Harmonized-Infilled,CH4 emissions reductions 2019-2030 % modelled Harmonized-Infilled,CH4 emissions reductions 2019-2040 % modelled Harmonized-Infilled,CH4 emissions reductions 2019-2050 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2030 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2040 % modelled Harmonized-Infilled,N2O emissions reductions 2019-2050 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2030 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2040 % modelled Harmonized-Infilled,FGA emissions reductions 2019-2050 % modelled Harmonized-Infilled,Year of 50% CO2 emissions reductions 2019 modelled vs Harmonized-Infilled,Peak Emissions|CO2,Peak Emissions|GHGs,Population-in-2100,Population-in-2100_bin,Time horizon,Vetting_future,Vetting_historical,Climate impacts,Regional_scope,Scenario_family,Scenario_scope,Sectoral_scope,Ssp_family,Technology_category_name,Year of peak CO2 Emissions (Harm-Infilled),Year of peak GHG Emissions,Year of netzero CO2 emissions (Harm-Infilled) table,Year of netzero GHG emissions (Harm-Infilled) table,"Cumulative net-negative CO2 (post net-zero, Gt CO2) (Harm-Infilled)","Cumulative net CO2 (2020 to netzero, Gt CO2) (Harm-Infilled)","Cumulative net CO2 (2020-2100, Gt CO2) (Harm-Infilled)",Category_FaIRv1.6.2,Category_name_FaIRv1.6.2,Median peak warming (MAGICCv7.5.3),Median warming in 2100 (MAGICCv7.5.3),Median year of peak warming (MAGICCv7.5.3),Median warming at year of netzero Emissions|CO2 (MAGICCv7.5.3),P67 warming at year of netzero (MAGICCv7.5.3) (Harm-Infilled),Median peak warming (FaIRv1.6.2),Median warming in 2100 (FaIRv1.6.2),Median year of peak warming (FaIRv1.6.2),Exceedance Probability 1.5C (MAGICCv7.5.3),Exceedance Probability 1.5C (FaIRv1.6.2),Exceedance Probability 2.0C (MAGICCv7.5.3),Exceedance Probability 2.0C (FaIRv1.6.2),Exceedance Probability 3.0C (MAGICCv7.5.3),Exceedance Probability 3.0C (FaIRv1.6.2),IMP_color_rgb,IMP_color_hex,Category_color_rgb,exclude,Global AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,Global Land Cover|Forest,R5 Land Cover|Forest,R10 Land Cover|Forest,Global Land Cover|Pasture,R5 Land Cover|Pasture,R10 Land Cover|Pasture,Global Land Cover|Cropland,R5 Land Cover|Cropland,R10 Land Cover|Cropland,Global all,R5 all,R10 all,Cumulative BECCS,Interpolated Net-Zero Year for Emissions|Kyoto Gases,Interpolated Net-Zero Year for AR6 Reanalysis|OSCARv3.2|Emissions|Kyoto Gases|Direct Only,Interpolated Net-Zero Year for AR6 Reanalysis|OSCARv3.2|Emissions|Kyoto Gases,Interpolated Net-Zero Year for Emissions|CO2,Interpolated Net-Zero Year for AR6 Reanalysis|OSCARv3.2|Emissions|CO2|Direct Only,Interpolated Net-Zero Year for AR6 Reanalysis|OSCARv3.2|Emissions|CO2
AIM/CGE 2.0,SSP1-26,C3,C3: limit warming to 2°C (>67%),C3a_Immediate_Action,,C3,,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,29.7905086,13.6789516,0.0177377,,,,39.0702650272553,19.42165602357748,4.376218164080893,26.15784546842148,63.29339142307528,21.40705703779698,49.96629960474416,65.70087324698801,40.27324496374182,54.92663019360613,60.40991836347894,36.26167385114346,41.43749354667391,34.37379305260581,39.37406068797279,86.17730415405856,86.89020418280985,2041.0,37.1813385,54.30853154123,6881.5846,Low,2100.0,Pass,Pass,no,global,SSP1,Global integrated scenario,integrated/energy-emissions,1.0,T0: Standard technology assumptions,2015.0,2015.0,2090.0,inf,-3168.77180136494,945.6153668930388,942.4855433794124,C3,C3: Likely below 2°C,1.702569023254108,1.609574218663803,2059.0,1.629364212478834,1.801266615321871,1.578328890678828,1.536620519979221,2070.0,0.745,0.5999105945462673,0.2133333333333333,0.1215914170764417,0.0066666666666666,0.0017881090746535,,,"111, 120, 153",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,112690.57885,,,,2100.0,2076.0,2070.0
AIM/CGE 2.0,SSP1-34,C5,C5: limit warming to 2.5°C (>50%),C5,,C5,,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,35.2017856,26.4760442,9.0377818,,,,48.12644149147164,35.68552261621241,14.61066938446971,9.33958391192175,32.77574180755383,6.603257948838949,17.69294102348456,31.05643285665423,23.94048091577888,37.18301315212003,47.56727111296688,19.82882550220618,23.52286338814532,22.01213117302839,-15.86947779200166,8.623778239746839,20.89943635902519,2064.0,37.1813385,54.30853154123,6881.5846,Low,2100.0,Pass,Pass,no,global,SSP1,Global integrated scenario,integrated/energy-emissions,1.0,T0: Standard technology assumptions,2015.0,2015.0,,inf,0.0,1774.37058797565,1774.37058797565,C4,C4: Below 2°C,2.098823412939168,2.090243511991121,2100.0,2.090243511991121,2.320239861531034,1.962483924413481,1.962483924413481,2100.0,0.935,0.9311578006258382,0.5766666666666667,0.4631202503352704,0.0883333333333333,0.0223513634331694,,,"140, 167, 208",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,15103.46995,,,,,,
AIM/CGE 2.0,SSP1-45,C6,C6: limit warming to 3°C (>50%),C6,,C6,,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,39.4589021,35.0300766,18.7381346,,,,55.87629904384824,53.2557381247033,26.89848411138685,-6.479225232230331,-1.485421041200331,-6.306289550963369,-3.160222536382662,6.681122038505611,-0.5016588649038941,-18.99518409560663,-3.009299062482818,-3.912137075717646,-22.65943490572907,-15.39100780653144,-23.86893849226288,-55.27705433442648,-88.42735062709984,2099.0,39.4589021,57.97555218056171,6881.5846,Low,2100.0,Pass,Pass,no,global,SSP1,Global integrated scenario,integrated/energy-emissions,1.0,T0: Standard technology assumptions,2030.0,2040.0,,inf,0.0,2473.615375808527,2473.615375808527,C5,C5: Below 2.5°C,2.666972563649564,2.664423381350534,2100.0,2.664423381350534,2.918825765416876,2.405439907918707,2.405439907918707,2100.0,0.9983333333333332,0.9964237818506928,0.9,0.8363880196691998,0.28,0.1448368350469379,,,"250, 193, 130",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,
AIM/CGE 2.0,SSP1-Baseline,C7,C7: limit warming to 4°C (>50%),C7,,C7,,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P1a,P1a: Baseline,SSP,41.8711824,40.1918627,29.8798054,,,,60.51931113918272,61.80108556122671,51.57788582026464,-9.061063993420868,-11.37093301929553,-7.026369375996985,-7.225896853570306,-1.75084175745449,-9.727957226877985,-16.91085684751757,-21.61915141258516,-10.47872156978241,-17.73521927312861,-22.26828684339905,-23.85370723394783,-55.25753493779914,-88.39802018891433,inf,42.1128088,62.45481986201816,6881.5846,Low,2100.0,Pass,Pass,no,global,SSP1,Global integrated scenario,integrated/energy-emissions,1.0,T0: Standard technology assumptions,2040.0,2040.0,,inf,0.0,2994.686676976194,2994.686676976194,C7,C7: Below 4.0°C,3.396894795595878,3.396894795595878,2100.0,3.396894795595878,3.707952424596649,3.002759652158261,3.002759652158261,2100.0,1.0,1.0,0.9966666666666668,0.9906124273580688,0.7316666666666667,0.5020116227089853,,,"241, 136, 114",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,
AIM/CGE 2.0,SSP4-26,C3,C3: limit warming to 2°C (>67%),C3a_Immediate_Action,,C3,,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,34.9675373,15.2161727,-2.785298,,,,41.59374329041434,20.40627235977701,2.324758220414795,28.17741905943081,64.76318233677341,21.78202571346162,51.66577560967391,68.59147442589862,44.12181989021578,54.76083973144994,57.79318684572812,40.51423466836879,41.85116223688418,33.1433260125538,74.28176865863288,84.53894141321472,86.31300718184835,2040.0,44.8180637,58.81128137173346,9266.2664,Medium,2100.0,Warning,Pass,no,global,SSP4,Global integrated scenario,integrated/energy-emissions,4.0,T0: Standard technology assumptions,2020.0,2020.0,2077.0,inf,-55385.90954711724,982.207779018874,926.934350590003,C1b,C1b: Below 1.5°C with low OS,1.631255829456341,1.523933081217913,2060.0,1.588362617051381,1.727456820918419,1.554968363864048,1.496835275753653,2070.0,0.69,0.5806884219937416,0.15,0.0827000447027268,0.0,0.0004470272686633,,,"111, 120, 153",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,256035.21875,,,,2083.0,2079.0,2077.0
AIM/CGE 2.0,SSP4-34,C5,C5: limit warming to 2.5°C (>50%),C5,,C5,,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,41.4356293,29.2189688,6.327384200000001,,,,50.9643451493344,35.88601488106434,13.15546800603378,12.45964230175217,38.35936535929285,6.171865842039889,19.62395467099014,34.96536850450004,32.95797621751108,42.74279407310868,48.36558733451681,29.02758387528709,29.74191130647576,24.70052519065074,14.40048469507772,36.96430651818907,89.12279809989921,2060.0,44.8180637,59.19418442475165,9266.2664,Medium,2100.0,Warning,Pass,no,global,SSP4,Global integrated scenario,integrated/energy-emissions,4.0,T0: Standard technology assumptions,2020.0,2020.0,,inf,0.0,1815.229110400331,1815.229110400331,C4,C4: Below 2°C,2.022387706090889,2.017105249891581,2100.0,2.017105249891581,2.19626469679991,1.934993991943176,1.93432251777192,2100.0,0.935,0.9360751005811354,0.5183333333333333,0.4300402324541797,0.0366666666666666,0.0102816271792579,,,"140, 167, 208",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,71054.16225000002,,,,,,
AIM/CGE 2.0,SSP4-45,C6,C6: limit warming to 3°C (>50%),C6,,C6,,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P2a,P2a: Immediate global action without transfers,SSP,46.2550611,40.8496662,16.7182348,,,,59.82618605712437,53.19411590750595,24.58885303705435,-2.828703925351594,8.570437868111657,-5.449428291180823,-5.090235388552944,7.04858784223294,8.482773737657185,5.333513164305775,17.83789130297178,6.054050190092123,-1.138239338070085,2.28519373950829,-10.01273629937552,4.863572583166102,20.52584008384141,2087.0,46.2550611,60.07827198722945,9266.2664,Medium,2100.0,Warning,Pass,no,global,SSP4,Global integrated scenario,integrated/energy-emissions,4.0,T0: Standard technology assumptions,2030.0,2040.0,,inf,0.0,2650.455505471565,2650.455505471565,C5,C5: Below 2.5°C,2.500915428732856,2.500915428732856,2100.0,2.500915428732856,2.7108899534834,2.342204979980714,2.342204979980714,2100.0,0.9966666666666668,0.9964237818506928,0.865,0.8194009834599909,0.1816666666666666,0.0947697809566383,,,"250, 193, 130",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1861.4673,,,,,,
AIM/CGE 2.0,SSP4-Baseline,C7,C7: limit warming to 4°C (>50%),C7,,C7,,https://doi.org/10.1016/j.gloenvcha.2016.05.009,P1a,P1a: Baseline,SSP,49.772638,47.2947702,36.763514,,,,66.69197583088234,67.18818481269854,59.10040780766461,-13.76060234144,-14.60701650079534,-13.25986024347371,-15.37381064020145,-7.825894917899756,-11.48179934580568,-18.79599999544411,-24.06908798346985,-11.63275933495675,-18.55708748571708,-22.69835084333735,-18.61586718817357,-37.19928997035728,-54.28144545596674,inf,50.5498265,69.15319496468688,9266.2664,Medium,2100.0,Pass,Pass,no,global,SSP4,Global integrated scenario,integrated/energy-emissions,4.0,T0: Standard technology assumptions,2040.0,2040.0,,inf,0.0,3401.566263295442,3401.566263295442,C7,C7: Below 4.0°C,3.325269251247297,3.325269251247297,2100.0,3.325269251247297,3.607290614496765,3.040097845102226,3.040097845102226,2100.0,1.0,1.0,0.9983333333333332,0.9946356727760394,0.7166666666666667,0.5324094769780957,,,"241, 136, 114",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,C5,C5: limit warming to 2.5°C (>50%),C5,,C5,,https://doi.org/10.1038/s41560-018-0179-z,P3b,P3b: NDC + Delayed global action,CD-LINKS,35.312021,13.0553991,5.9891869,,31610.8995705764,Low,52.28152243955486,24.56135006040472,18.36077283225376,8.756147840008317,57.13452689996966,9.20228158728396,53.76685616887858,66.71312817265662,-0.0892149292867019,36.08413232630532,33.86784328386469,-3.71648704661693,9.258300176971684,4.39427055249936,-15.37825818959686,-31.020767959199,-50.79689621824514,2039.0,39.08849379999999,58.04241800807633,8990.6331,Medium,2100.0,Pass,Pass,no,global,CD-LINKS,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020.0,2020.0,,inf,0.0,1265.536430416577,1265.536430416577,C4,C4: Below 2°C,2.138917890984542,2.138917890984542,2100.0,2.138917890984542,2.353675543676659,1.983461141482446,1.983461141482446,2100.0,0.9566666666666668,0.9396513187304426,0.615,0.4841305319624497,0.0833333333333333,0.0227983907018328,,,"140, 167, 208",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,191214.244,,,,,,
AIM/CGE 2.1,CD-LINKS_INDCi,C7,C7: limit warming to 4°C (>50%),C7,NDCs,C7,,https://doi.org/10.1007/s10584-020-02837-9,P1c,P1c: NDC,CD-LINKS,36.0684425,39.5199596,51.5883074,,32131.6637868361,Low,53.25192487836522,58.83395674659911,75.03830508294688,6.79160956052839,-2.978782909008384,7.697708894656929,2.628790761163443,0.9693101374218293,3.537084778526917,-2.136365881814676,-8.237407489493421,5.50856212605118,-3.14039625189093,-12.27581600020768,-15.39705081775617,-32.35424879978007,-52.36096294394515,inf,51.5883074,75.03830508294688,8990.6331,Medium,2100.0,Pass,Pass,no,global,CD-LINKS,Global integrated scenario,integrated/energy-emissions,2.0,,2100.0,2100.0,,inf,0.0,3539.098395056032,3539.098395056032,C7,C7: Below 4.0°C,3.341541616892703,3.341541616892703,2100.0,3.341541616892703,3.633502890922145,3.071320030088642,3.071320030088642,2100.0,1.0,1.0,0.9983333333333332,0.995529727313366,0.7216666666666667,0.5529727313366115,,,"241, 136, 114",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,581.2737999999999,,,,,,
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,C4,C4: limit warming to 2°C (>50%),C4,,C4,,https://doi.org/10.1038/s41560-018-0179-z,P3b,P3b: NDC + Delayed global action,CD-LINKS,35.312021,4.3863835,-3.152046,,31418.03217395224,Low,53.46931672951015,14.36075916736012,8.14925807813593,6.595150525099755,74.91337779462862,9.20228158728396,55.17063026225095,88.47421740169654,-0.0892149292867019,36.25887432137402,40.58123975937524,-3.71648704661693,9.375006595857672,9.966724454547975,-15.37825818959686,-30.98568592576254,-49.80932845066251,2039.0,39.08849379999999,57.97503050614159,8990.6331,Medium,2100.0,Pass,Pass,no,global,CD-LINKS,Global integrated scenario,integrated/energy-emissions,2.0,,2020.0,2020.0,2057.0,inf,-121563.1039354031,806.5417779135942,685.1846730819916,C3,C3: Likely below 2°C,1.85706584563628,1.819981857034756,2059.0,1.807879562280043,1.965116768505094,1.750113480413947,1.694107342398127,2050.0,0.8766666666666667,0.8104604380867233,0.3633333333333333,0.2230666070630309,0.0116666666666666,0.0044702726866338,,,"167, 198, 130",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,435285.5608,,,,2057.0,2046.0,2044.0
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,C3,C3: limit warming to 2°C (>67%),C3a_Immediate_Action,,C3,, https://doi.org/10.1038/s41560-018-0179-z; https://doi.org/10.1038/s41467-020-15414-6 ,P2a,P2a: Immediate global action without transfers,CD-LINKS,23.4234814,7.1417513,0.0201297,,31512.24133481768,Low,33.49236498297437,14.7884291437039,7.896921067380048,40.89282427910391,73.90144647960001,38.93005729235355,69.54921761612113,81.27876577619851,43.98288634438942,56.42059671175531,56.51574981278833,39.70888698154691,42.27112031775236,30.1198240668676,79.26287995901873,88.52673127529364,89.59103827827155,2033.0,38.6821867,57.24889737343121,8990.6331,Medium,2100.0,Pass,Pass,no,global,CD-LINKS,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020.0,2020.0,2064.0,inf,-1437.344326544639,679.395765874701,701.0682410185816,C3,C3: Likely below 2°C,1.640131616965608,1.597752477432347,2050.0,1.58524714642624,1.72973884293281,1.580141309909484,1.551650491576144,2096.0,0.6766666666666666,0.6101922217255252,0.1816666666666666,0.1135449262405007,0.0033333333333333,0.0013410818059901,,,"111, 120, 153",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,430822.7907000001,,,,2063.0,2062.0,2060.0
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,C5,C5: limit warming to 2.5°C (>50%),C5,,C5,, https://doi.org/10.1038/s41560-018-0179-z; https://doi.org/10.1038/s41467-020-15414-6 ,P2a,P2a: Immediate global action without transfers,CD-LINKS,24.4453488,15.8339838,8.9415908,,31638.03892742548,Low,36.63734487411526,27.60404291006754,21.3335757873393,35.86075635451698,51.67492513738154,37.08898863650317,50.38990851892795,59.80254891383552,31.59139122729135,32.09273792215001,31.25544146441136,10.62202795893839,6.514276170771343,2.402719527145519,21.27110442538265,54.11648250815229,54.30693295664214,2040.0,39.2522177,57.82141653099615,8990.6331,Medium,2100.0,Pass,Pass,no,global,CD-LINKS,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020.0,2020.0,,inf,0.0,1352.745754359492,1352.745754359492,C5,C5: Below 2.5°C,2.167470415289078,2.167470415289078,2100.0,2.167470415289078,2.393339437834622,2.021077370675084,2.021077370675084,2100.0,0.96,0.9526151095216808,0.6533333333333333,0.5181046043808673,0.09,0.0263746088511399,,,"140, 167, 208",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,111966.5378,,,,,,
AIM/CGE 2.1,CD-LINKS_NPi2020_400,C1,C1: limit warming to 1.5°C (>50%) with no or limited overshoot,C1a_NZGHGs,,C1,, https://doi.org/10.1038/s41560-018-0179-z; https://doi.org/10.1038/s41467-020-15414-6 ,P2a,P2a: Immediate global action without transfers,CD-LINKS,21.6048704,-4.9576403,-6.818764600000001,,30979.24216260143,Low,31.25375262449218,0.263645741289223,-1.30868387515477,44.88681442411493,99.53508441560462,43.60278160515272,81.82363116640225,111.6885642650236,46.18081440346956,59.84821519603006,70.01075409890944,41.82588893334627,45.90782542510735,46.07380087732298,79.29126271152228,88.56473325452365,89.70289083987495,2032.0,38.6827636,57.30472828332142,8990.6331,Medium,2100.0,Pass,Pass,no,global,CD-LINKS,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020.0,2020.0,2046.0,2051.0,-350679.2383590433,508.4521350219625,158.6926464567152,C1a,C1a: Below 1.5°C with no OS,1.557522219114318,1.236270564024115,2039.0,1.538985134545568,1.664497188850135,1.489394690587341,1.249095371183277,2039.0,0.5833333333333334,0.4845775592311131,0.0866666666666666,0.0362092087617344,0.0,0.0,,,"151, 206, 228",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,402630.6822000001,2050.0,2044.0,2042.0,2045.0,2040.0,2037.0
AIM/CGE 2.1,CO_Bridge,C3,C3: limit warming to 2°C (>67%),C3,,C3,,https://doi.org/10.1038/s41467-021-26595-z,P3c,P3c: Other policies + Delayed global action,COMMIT,30.6547011,8.6729805,0.3032464000000003,,23158.62451627855,Low,40.9767711189129,15.4199888360993,7.005358708387734,27.57058225018677,72.7440502848258,21.83308556234248,50.49226812869484,78.07868226409599,38.2470546214121,52.28275172976119,60.16238621308009,39.58668519056081,43.95322615433235,40.98170699750433,79.24795640880481,88.50921687682919,89.64823641536684,2040.0,39.4364444,57.13971450539474,9427.5655,Medium,2100.0,Pass,Pass,no,global,COMMIT,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020.0,2020.0,,inf,0.0,938.7004641166634,938.7004641166634,C3,C3: Likely below 2°C,1.638093553811231,1.538103662544753,2049.0,1.538103662544753,1.680507992193445,1.57980508115874,1.530219324523157,2050.0,0.6983333333333334,0.6128743853375056,0.1466666666666666,0.0965578900312919,0.0016666666666666,0.0008940545373267,,,"111, 120, 153",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,282879.3936,,,,,,
AIM/CGE 2.1,CO_CurPol,C7,C7: limit warming to 4°C (>50%),C7,,C7,,https://doi.org/10.1038/s41467-021-26595-z,P1b,P1b: Current policies,COMMIT,42.6151612,45.7085639,49.914375,,24046.75289192789,Low,61.97764781635537,67.37268305507648,73.43589012000483,-9.26539813910776,-18.77674124590144,-8.328972982648429,-14.23985996752137,-14.59500606532925,-11.08880457393826,-19.63480435904418,-26.99667853904856,-11.92582398806655,-21.04337499952696,-28.35464019917441,-15.7313492045599,-32.64684468582502,-52.64553163117505,inf,49.914375,73.43589012000483,9427.5655,Medium,2100.0,Pass,Pass,no,global,COMMIT,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2100.0,2100.0,,inf,0.0,3781.291962942676,3781.291962942676,C7,C7: Below 4.0°C,3.406047899139806,3.406047899139806,2100.0,3.406047899139806,3.700062347078901,3.16481623174982,3.16481623174982,2100.0,1.0,1.0,1.0,0.9968708091193564,0.7583333333333333,0.6101922217255252,,,"241, 136, 114",False,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,
AIM/CGE 2.2,EN_INDCi2030_1000f,C3,C3: limit warming to 2°C (>67%),C3b_NDCs,,C3,,https://doi.org/10.1038/s41558-021-01215-2,P3b,P3b: NDC + Delayed global action,ENGAGE,41.9435164,17.2954727,-6.0,,43617.01312447701,Low,55.84125029485305,25.49417408641357,2.039521550949092,3.93744711625895,56.14289734789239,-1.287754199695243,40.4046044140357,57.98561266372184,12.74843080841041,50.44706589964581,53.05082801047445,7.965343729303342,29.24206491376841,27.00652795467938,79.19593801808739,88.59770435207494,89.60245175246025,2045.0,42.0496801,59.0850774470792,8978.2168,Medium,2100.0,Pass,Pass,no,global,ENGAGE,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020.0,2020.0,2067.0,inf,-176239.144350074,1160.102946727454,984.231654971407,C3,C3: Likely below 2°C,1.834216547506344,1.677218210490644,2059.0,1.814771950001885,1.973916139495058,1.720319561542099,1.604588755275327,2060.0,0.8683333333333333,0.7849798837729102,0.315,0.2029503799731784,0.0066666666666666,0.0017881090746535,,,"111, 120, 153",False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,498214.7389000001,,2075.0,2073.0,2067.0,2064.0,2060.0
AIM/CGE 2.2,EN_INDCi2030_1200,C4,C4: limit warming to 2°C (>50%),C4,,C4,,https://doi.org/10.1038/s41558-021-01215-2,P3b,P3b: NDC + Delayed global action,ENGAGE,41.9435164,18.0966118,-1e-05,,43711.12980920666,Low,55.85422508581735,26.37920235703158,8.380588869243743,3.915126850566777,54.62040144028043,-1.287754199695243,39.58138186536488,56.07571620214959,12.74843080841041,50.04216960138863,52.58464640119765,7.965343729303342,28.84708553957366,26.46447406158969,79.19593801808739,88.59000839218596,89.59643682135248,2046.0,42.0496801,59.0850774470792,8978.2168,Medium,2100.0,Pass,Pass,no,global,ENGAGE,Global integrated scenario,integrated/energy-emissions,2.0,T1: Non-standard technology assumptions,2020.0,2020.0,2070.0,inf,0.0,1194.414937177437,1194.414937177437,C3,C3: Likely below 2°C,1.851322625141053,1.784375989323108,2060.0,1.784375989323108,1.961281269356683,1.745773387182236,1.70777158056322,2061.0,0.875,0.8033080017881091,0.33,0.2253017434063478,0.0133333333333333,0.0031291908806437,,,"167, 198, 130",False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,387113.8875,,,,2070.0,2065.0,2061.0
AIM/CGE 2.2,EN_INDCi2030_1200f,C4,C4: limit warming to 2°C (>50%),C4,,C4,,https://doi.org/10.1038/s41558-021-01215-2,P3b,P3b: NDC + Delayed global action,ENGAGE,41.9435164,21.698915,-6.0,,43603.5360607465,Low,55.88132168287843,30.37051464486157,2.084269542045531,3.838211855851999,47.73776089833011,-1.287754199695243,34.35128439016247,47.49199219399424,12.74843080841041,47.67171844565796,50.06076605197988,7.965343729303342,26.55298259027826,23.87376705791312,79.19593801808739,88.54786009764047,89.56830585534195,2052.0,42.0496801,59.06210223862874,8978.2168,Medium,2100.0,Pass,Pass,no,global,ENGAGE,Global integrated scenario,integrated/energy-emissions,2.0,T0: Standard technology assumptions,2020.0,2020.0,2073.0,inf,-143632.2862746493,1317.275466830439,1174.261248912025,C3,C3: Likely below 2°C,1.899893027998227,1.777720090483345,2069.0,1.885239471513145,2.047734425750787,1.784584618451842,1.695221267528885,2070.0,0.9016666666666666,0.8404112650871703,0.3966666666666666,0.2632990612427358,0.0133333333333333,0.0031291908806437,,,"167, 198, 130",False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,427245.9821000001,,2082.0,2079.0,2072.0,2069.0,2066.0
AIM/CGE 2.2,EN_INDCi2030_1400,C4,C4: limit warming to 2°C (>50%),C4,,C4,,https://doi.org/10.1038/s41558-021-01215-2,P3b,P3b: NDC + Delayed global action,ENGAGE,41.9435164,23.3817486,-1e-05,,43700.88278554378,Low,55.86078860035129,32.16554273366209,8.443584782279999,3.875938268663957,44.65021542261189,-1.287754199695243,31.47493750600087,43.48116210469726,12.74843080841041,46.474343796377,49.3848160873113,7.965343729303342,25.38836728408145,23.1050822696918,79.19593801808739,88.5289135024189,89.56018963825767,2054.0,42.0496801,59.06392894624159,8978.2168,Medium,2100.0,Pass,Pass,no,global,ENGAGE,Global integrated scenario,integrated/energy-emissions,2.0,T1: Non-standard technology assumptions,2020.0,2020.0,2075.0,inf,0.0,1398.958200425188,1398.958200425188,C3,C3: Likely below 2°C,1.937624684262317,1.891343065224081,2070.0,1.891343065224081,2.075716465348296,1.829556256079115,1.800330804699027,2071.0,0.905,0.8730442556995976,0.4416666666666666,0.3151542244076889,0.0216666666666666,0.0067054090299508,,,"167, 198, 130",False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,326402.0911000001,,,,2075.0,2072.0,2068.0
